Front,Back,Chapter,Tags
"8 years","Lookback period for unanswered OATH summonses (Recidivist — 3+ unanswered)","Summonses",key_terms 209_summonses
"3","Maximum parking summonses to same vehicle at same location per day","Summonses",key_terms 209_summonses
"5","Mandatory ID elements on parking summons (omission = dismissal)","Summonses",key_terms 209_summonses
"6","Number of CJRA-qualifying violations","Summonses",key_terms 209_summonses
"16","Minimum age to receive a summons","Summonses",key_terms 209_summonses
"Holdover Prisoner","A prisoner who has entered the court process, has NOT yet been arraigned, and has been returned to police custody for overnight detention","Prisoners",key_terms 210_prisoners
"Voided Arrest","Release of a prisoner when reasonable cause exists to believe the prisoner did NOT commit the offense, or that no offense was committed","Prisoners",key_terms 210_prisoners
"Decline Prosecution","DA exercises discretion not to prosecute a validly arrested prisoner; requires a Decline Prosecution Letter from an ADA","Prisoners",key_terms 210_prisoners
"High Risk Prisoner","A prisoner assessed as high risk based on: seriousness of offense, refusal to identify, forcible resistance, threats of violence/escape, history of violence, weapons possession, or escape/attempted escape history","Prisoners",key_terms 210_prisoners
"Prisoner Security Guidelines","All prisoners will be searched on entry to and exit from any police facility, detention facility, DA facility, or court facility; also searched before transport departure and upon arrival","Prisoners",key_terms 210_prisoners
"Mobile Livescan Device (MLD)","Portable fingerprint scanner that transmits via cellular to DCJS; used exclusively for fingerprinting hospitalized prisoners; requires at least 2 MOS present","Prisoners",key_terms 210_prisoners
"Bedside Arraignment","Arraignment conducted at the hospital to reduce manpower required to guard hospitalized prisoners","Prisoners",key_terms 210_prisoners
"Prison Ward","Designated area within a hospital for the treatment and detention of prisoners under guard","Prisoners",key_terms 210_prisoners
"Transport Chains","Restraint system used when transporting more than 2 prisoners; cuffs must be double locked","Prisoners",key_terms 210_prisoners
"Leg Restraints","Additional restraint applied to legs; MUST be used when prisoner refused fingerprinting and for ALL hospital transports; may NOT be used for punitive purposes; does not replace rear handcuffing","Prisoners",key_terms 210_prisoners
"Rear Cuff","Standard restraint for ALL prisoners during transport; hands cuffed behind the back","Prisoners",key_terms 210_prisoners
"Urgent Police Action","Response to an emergency, active pursuit, or moving surveillance","Prisoners",key_terms 210_prisoners
"Necessary Police Action","Less than urgent; enhances safety of an operation; NOT solely for the member's convenience","Prisoners",key_terms 210_prisoners
"ACR (Ambulance Call Report)","Report number obtained from ambulance attendant when prisoner is transported by EMS; recorded in Section I of MTP","Prisoners",key_terms 210_prisoners
"PCR (Patient Care Report)","Report number obtained from ambulance attendant when prisoner is transported by RMP or other means (not EMS); recorded in Section I of MTP","Prisoners",key_terms 210_prisoners
"PIN (Patient Identification Number)","Number obtained from hospital intake people when prisoner is transferred to Bellevue/Elmhurst for psychiatric admission; NOT the same as ACR or PCR","Prisoners",key_terms 210_prisoners
"UF-50","A memo with the Official Seal of NYC preprinted in the upper left corner; used for communications outside the Department; issued to authorize family visits to hospitalized prisoners","Prisoners",key_terms 210_prisoners
"Plastic Flex Cuffs","Additional data restraint used when a hospitalized prisoner admitted to ICU is assessed as having escape potential","Prisoners",key_terms 210_prisoners
"Long Chain Cuffs","Restraint used when prisoner is comatose, paralyzed, or in last stage of pregnancy","Prisoners",key_terms 210_prisoners
"Prisoner Unusual","An unarraigned adult prisoner or juvenile under 18 in NYPD custody or Corrections who: assaults MOS, is sexually assaulted/harassed (or alleges such), escapes/attempts, or other unusual occurrence","Prisoners",key_terms 210_prisoners
"Typed Letterhead (49)","Report prepared by the C.O./Duty Captain for prisoner unusual occurrences; forwarded to Chief of Department (3 copies adult, 2 copies child DOA, 1 copy child in custody)","Prisoners",key_terms 210_prisoners
"Other Police Agencies","DOC, NYS DOCCS, Court Officers, Port Authority Police, MTA Police, Amtrak Police, Sea Gate Police, FDNY Fire Marshals, DEP Police, TBTA Police","Prisoners",key_terms 210_prisoners
"Form Name","Form Number","Prisoners",key_terms 210_prisoners
"Prisoner Roster","PD244-145","Prisoners",key_terms 210_prisoners
"Prisoner Holding Pen Roster","PD244-1410","Prisoners",key_terms 210_prisoners
"Medical Treatment of Prisoner","PD244-150","Prisoners",key_terms 210_prisoners
"Transport Dispatch","PD171-132","Prisoners",key_terms 210_prisoners
"Meal Voucher","PD144-051","Prisoners",key_terms 210_prisoners
"Arrest Report Supplement","PD244-157","Prisoners",key_terms 210_prisoners
"Medical Treatment of Prisoner (MTP)","PD244-150","Prisoners",key_terms 210_prisoners
"Decline Prosecution Letter","—","Prisoners",key_terms 210_prisoners
"OLBS Arrest Worksheet","—","Prisoners",key_terms 210_prisoners
"Expense Report","—","Prisoners",key_terms 210_prisoners
"Abbreviation","Full Name","Prisoners",key_terms 210_prisoners
"BCS","Borough Court Section","Prisoners",key_terms 210_prisoners
"DCJS","Division of Criminal Justice Services","Prisoners",key_terms 210_prisoners
"DOC","Department of Correction (NYC)","Prisoners",key_terms 210_prisoners
"DOCCS","Department of Corrections and Community Supervision (NYS)","Prisoners",key_terms 210_prisoners
"MLD","Mobile Livescan Device","Prisoners",key_terms 210_prisoners
"MOS","Member of Service","Prisoners",key_terms 210_prisoners
"OLBS","On-Line Booking System","Prisoners",key_terms 210_prisoners
"TBTA","Triborough Bridge and Tunnel Authority","Prisoners",key_terms 210_prisoners
"ACR","Ambulance Call Report","Prisoners",key_terms 210_prisoners
"PCR","Patient Care Report","Prisoners",key_terms 210_prisoners
"PIN","Patient Identification Number","Prisoners",key_terms 210_prisoners
"MTP","Medical Treatment of Prisoner","Prisoners",key_terms 210_prisoners
"HHC","NYC Health and Hospitals Corporation","Prisoners",key_terms 210_prisoners
"NP","Nurse Practitioner","Prisoners",key_terms 210_prisoners
"ESU","Emergency Service Unit","Prisoners",key_terms 210_prisoners
"IAB","Internal Affairs Bureau","Prisoners",key_terms 210_prisoners
"CJB","Criminal Justice Bureau","Prisoners",key_terms 210_prisoners
"Number","What It Represents","Prisoners",key_terms 210_prisoners
"$1.80","Maximum cost per meal per prisoner","Prisoners",key_terms 210_prisoners
"15 minutes","Maximum duration for parent/guardian visit (prisoner age 18-21)","Prisoners",key_terms 210_prisoners
"30 minutes","Inspection interval for prisoners in holding pens","Prisoners",key_terms 210_prisoners
"1 hour","Follow-up notification deadline if other agency does not provide guard relief","Prisoners",key_terms 210_prisoners
"3 hours","Maximum detention time in holding pen (standard; extension requires approval)","Prisoners",key_terms 210_prisoners
"4 hours","Minimum detention before parent/guardian visit is permitted (prisoner age 18-21)","Prisoners",key_terms 210_prisoners
"6 days","Notification threshold — notify borough court section if bedside arraignment delayed beyond this","Prisoners",key_terms 210_prisoners
"2 prisoners","Threshold — transport chains MUST be used for more than this number","Prisoners",key_terms 210_prisoners
"9 prisoners","Threshold — additional escort required for more than this number on transport chains","Prisoners",key_terms 210_prisoners
"2 MOS","Minimum staffing for MLD fingerprinting of hospitalized prisoners","Prisoners",key_terms 210_prisoners
"3 meal periods","0500-0600, 1200-1300, 1800-1900","Prisoners",key_terms 210_prisoners
"15th of month","Deadline for prisoner meal expense report submission","Prisoners",key_terms 210_prisoners
"September 30th","Due date for annual Prisoner Security Survey report","Prisoners",key_terms 210_prisoners
"Last week of September","Timing for annual Prisoner Security Survey","Prisoners",key_terms 210_prisoners
"7","Number of high risk prisoner factors","Prisoners",key_terms 210_prisoners
"6","Items removed from prisoners in holding pens (belts, neckties, shoelaces, drawstrings, jackets, overcoats)","Prisoners",key_terms 210_prisoners
"5","Required elements on OLBS Arrest Worksheet for voided arrests","Prisoners",key_terms 210_prisoners
"10","Number of agencies classified as ""other police agencies""","Prisoners",key_terms 210_prisoners
"4 hours","Deadline for EO to respond to DOC prison ward to take custody of released prisoner","Prisoners",key_terms 210_prisoners
"3","Copies of typed letterhead (49) to Chief of Dept for adult prisoner unusual occurrence","Prisoners",key_terms 210_prisoners
"2","Copies of typed letterhead (49) to Chief of Dept for child in custody DOA","Prisoners",key_terms 210_prisoners
"1","Copy of typed letterhead (49) to Chief of Dept for child in custody (not DOA)","Prisoners",key_terms 210_prisoners
"1 tour","Maximum time Pct of Hospitalization may guard a Housing/Transit prisoner if A/O has other arrests","Prisoners",key_terms 210_prisoners
"Wednesday","Day of weekly telephone message to BCS when guard removed from hospitalized prisoner","Prisoners",key_terms 210_prisoners
"3 notifications","Times PS and Communications Section notified when prisoner ingests narcotics/dangerous substance","Prisoners",key_terms 210_prisoners
"CPR System","Centralized Personnel Resource System — monitors and controls all court and agency appearances","Court & Agency Appearances",key_terms 211_court_appearances
"Short Date Notification","Notification to appear the next day (or Friday for Monday) — time-sensitive, triggers email notifications to member, roll call, operations coordinator, and integrity control officer","Court & Agency Appearances",key_terms 211_court_appearances
"Telephone Alert","System to prevent unnecessary court appearances; member assigned to 2nd platoon, no meal before 1300 hours; if not called by 1300, alert NOT activated","Court & Agency Appearances",key_terms 211_court_appearances
